housename,location,houseprice,time_of_completion
"
绿城云栖玫瑰园
","
                              ［西湖-之江度假区］之江路                            ",134769,"<p class=""date"">竣工日期：2013年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
金宇彩虹嘉都
","
                              ［富阳-富春］高桥西路                            ",16933,"<p class=""date"">竣工日期：2006年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
九龙仓碧玺
","
                              ［拱墅-桥西］后横港路,近桥弄街                            ",50317,"<p class=""date"">竣工日期：2014年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
恒逸金榈湾
","
                              ［萧山-临浦新城］临浦中路123-125号                            ",17982,"<p class=""date"">竣工日期：2010年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
东海柠檬郡
","
                              ［江干-金沙湖］幸福南路252号                            ",31342,"<p class=""date"">竣工日期：2011年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
世茂江滨花园瑞景湾
","
                              ［江干-下沙沿江］16号大街,近23号大街                            ",24494,"<p class=""date"">竣工日期：2012年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
建国南苑
","
                              ［上城-鼓楼］河坊街413号                            ",43270,"<p class=""date"">竣工日期：1997年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
杭州绿园
","
                              ［西湖-黄龙］玉古路159-161号                            ",69983,"<p class=""date"">竣工日期：2002年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
九莲新村
","
                              ［西湖-九莲］文三路356号                            ",38292,"<p class=""date"">竣工日期：1986年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
白金海岸花园
","
                              ［滨江-四桥南］香溢路88号                            ",41370,"<p class=""date"">竣工日期：2004年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
嘉绿名苑
","
                              ［西湖-嘉绿］益乐路52号                            ",44219,"<p class=""date"">竣工日期：2004年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
东海水漾人家
","
                              ［余杭-临平］红丰路39号                            ",20641,"<p class=""date"">竣工日期：2004年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
永和之星
","
                              ［萧山-新街］戚枫路,近塘新线                            ",18841,"<p class=""date"">竣工日期：暂无数据                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
大园新城
","
                              ［临安-临安］天柱街,近大园路                            ",14588,"<p class=""date"">竣工日期：暂无数据                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
绿城之江1号(西区)
","
                              ［西湖-转塘］横桥路,近博美路                            ",37347,"<p class=""date"">竣工日期：2012年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
绿城桃李春风(别墅)
","
                              ［临安-临安］科技大道                            ",22476,"<p class=""date"">竣工日期：2017年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
新城时代广场
","
                              ［江干-景芳］新塘路115号                            ",23362,"<p class=""date"">竣工日期：2008年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
广宁小区
","
                              ［萧山-湘湖闻堰］南秀路58号                            ",26079,"<p class=""date"">竣工日期：2000年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
中南白马湖壹号(公寓)
","
                              ［滨江-白马湖］时代大道                            ",32022,"<p class=""date"">竣工日期：2017年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
滨江东方海岸
","
                              ［萧山-湘湖闻堰］城星路                            ",30337,"<p class=""date"">竣工日期：2017年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
杭钢尚堂府
","
                              ［拱墅-康桥］石祥路282号                            ",29324,"<p class=""date"">竣工日期：2017年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
广宇锦绣桃源
","
                              ［拱墅-康桥］翠锦路,近桃源街                            ",35771,"<p class=""date"">竣工日期：2016年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
耀达金鼎华庭
","
                              ［余杭-仁和］仁和大道                            ",16890,"<p class=""date"">竣工日期：2016年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
美好桂花星座
","
                              ［余杭-星桥］临丁路,近星源路                            ",22227,"<p class=""date"">竣工日期：2016年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
金雅苑
","
                              ［江干-九堡客运站］仁爱路219号                            ",29896,"<p class=""date"">竣工日期：2009年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
龙湖名景台(公寓)
","
                              ［江干-丁桥］同协路,近杭玻街                            ",33207,"<p class=""date"">竣工日期：2016年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
重汽嘉泽苑
","
                              ［萧山-空港新城］红山大道                            ",18358,"<p class=""date"">竣工日期：2013年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
三里亭苑三区
","
                              ［江干-三里亭］尧典桥路,近池塘庙路                            ",31763,"<p class=""date"">竣工日期：1996年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
中兴景冉佳园
","
                              ［江干-高教园区(东)］学正街169号                            ",29462,"<p class=""date"">竣工日期：2012年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
帝景园
","
                              ［萧山-江东新城］永丰路,近河中路                            ",16718,"<p class=""date"">竣工日期：2010年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
滨江阳光海岸
","
                              ［上城-南星］甬江路6号                            ",81709,"<p class=""date"">竣工日期：2009年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
众安花园
","
                              ［萧山-萧山市区］萧然东路41号                            ",25037,"<p class=""date"">竣工日期：2003年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
蓝桥名苑
","
                              ［江干-九堡客运站］金堡街294号                            ",27761,"<p class=""date"">竣工日期：2009年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
大学路新村
","
                              ［上城-小营］大学路,近老浙大横路                            ",39998,"<p class=""date"">竣工日期：1989年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
兴和苑
","
                              ［余杭-瓶窑］凤溪路245号                            ",17152,"<p class=""date"">竣工日期：2006年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
中梁百悦城(公寓)
","
                              ［余杭-临平北］顺风路128号                            ",19424,"<p class=""date"">竣工日期：2018年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
合景映月台(别墅)
","
                              ［余杭-未来科技城］溪望路                            ",46766,"<p class=""date"">竣工日期：暂无数据                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
合景叠彩园(别墅)
","
                              ［余杭-未来科技城］溪望路                            ",41114,"<p class=""date"">竣工日期：2016年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
杭州印
","
                              ［滨江-滨江区政府］闻涛路,近江晖路                            ",33297,"<p class=""date"">竣工日期：暂无数据                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
望梅路588号小区
","
                              ［余杭-临平北］望梅路588号                            ",9324,"<p class=""date"">竣工日期：暂无数据                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
大家小墅
","
                              ［富阳-富春］金苑路                            ",27089,"<p class=""date"">竣工日期：2014年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
佳源名城
","
                              ［余杭-崇贤］崇超路,近汇贤路                            ",19932,"<p class=""date"">竣工日期：2016年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
望江府
","
                              ［上城-南星］闻潮路280号                            ",70703,"<p class=""date"">竣工日期：2015年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
世纪嘉园
","
                              ［余杭-临平］世纪大道,南兴路                            ",20939,"<p class=""date"">竣工日期：2004年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
九龙仓君廷(公寓)
","
                              ［余杭-运河镇］康信路                            ",17724,"<p class=""date"">竣工日期：2014年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
苏家谭小区
","
                              ［萧山-萧山市区］西河路                            ",25336,"<p class=""date"">竣工日期：暂无数据                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
北湖绿洲花园
","
                              ［余杭-瓶窑］瓶仓大道57号                            ",18438,"<p class=""date"">竣工日期：2011年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
恒厚阳光城
","
                              ［余杭-中泰］杭泰路103号                            ",21849,"<p class=""date"">竣工日期：2011年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
中意名仕苑
","
                              ［余杭-临平］人民大道438号                            ",24231,"<p class=""date"">竣工日期：2012年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
桂花星城
","
                              ［余杭-临平］世纪大道                            ",25014,"<p class=""date"">竣工日期：2010年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
瑞城温莎郡(公寓)
","
                              ［余杭-闲林］天目山路                            ",26223,"<p class=""date"">竣工日期：2014年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
江南明城
","
                              ［萧山-钱江世纪城］利华路66号                            ",20351,"<p class=""date"">竣工日期：2000年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
青枫墅园林语阁(公寓)
","
                              ［余杭-闲林］文良线                            ",27249,"<p class=""date"">竣工日期：2014年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
绿城蔚蓝公寓
","
                              ［江干-景芳］凤起东路,近景昙路                            ",59162,"<p class=""date"">竣工日期：2010年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
九曲营小区
","
                              ［余杭-临平］九曲营路78号                            ",19297,"<p class=""date"">竣工日期：2000年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
欣龙华府
","
                              ［余杭-老余杭］荆余路,近凤新路                            ",20507,"<p class=""date"">竣工日期：2006年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
广德小区
","
                              ［萧山-萧山市区］育才北路1号                            ",29365,"<p class=""date"">竣工日期：2002年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
水岸鑫域
","
                              ［建德-建德］305省道,近330国道                            ",6170,"<p class=""date"">竣工日期：2015年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
绿都南江商业中心
","
                              ［萧山-萧山市区］市心南路1038号                            ",17780,"<p class=""date"">竣工日期：暂无数据                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
美致生活广场
","
                              ［余杭-运河镇］龙船坞路,近星河路                            ",21452,"<p class=""date"">竣工日期：暂无数据                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
万科郡西澜山
","
                              ［余杭-良渚］风情大道                            ",32344,"<p class=""date"">竣工日期：2017年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
中天珺府
","
                              ［临安-临安］科技大道2988号                            ",14568,"<p class=""date"">竣工日期：2016年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
钱塘大观
","
                              ［滨江-钱江湾］闻涛路,近新和路                            ",32335,"<p class=""date"">竣工日期：2016年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
万科金辰之光
","
                              ［萧山-湘湖闻堰］西兴路                            ",35938,"<p class=""date"">竣工日期：2017年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
世茂之西湖
","
                              ［滨江-彩虹城］江南大道                            ",48482,"<p class=""date"">竣工日期：2013年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
融科瑷骊山
","
                              ［西湖-转塘］八角路，近鸡山路                            ",30481,"<p class=""date"">竣工日期：2014年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
大华海派风范沁园
","
                              ［余杭-老余杭］城东路                            ",32584,"<p class=""date"">竣工日期：2011年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
泊林漫谷(公寓)
","
                              ［西湖-小和山］留和路                            ",22447,"<p class=""date"">竣工日期：2010年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
协安蓝郡
","
                              ［余杭-勾庄］金昌路,近古墩路                            ",32973,"<p class=""date"">竣工日期：2014年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
临东小区
","
                              ［临安-临安］大学路                            ",14197,"<p class=""date"">竣工日期：2007年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
华源凤城花苑
","
                              ［余杭-瓶窑］华兴路330号                            ",16716,"<p class=""date"">竣工日期：2003年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
西园凤都苑
","
                              ［余杭-老余杭］狮山路,近凤新路                            ",22860,"<p class=""date"">竣工日期：2004年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
西溪阳光
","
                              ［余杭-未来科技城］荆长大道,近同顺路                            ",27663,"<p class=""date"">竣工日期：2015年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
融创河滨之城雨澜轩
","
                              ［西湖-紫金港］五常港路301号                            ",48137,"<p class=""date"">竣工日期：2016年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
宝龙云滨湾(别墅)
","
                              ［江干-高教园区(东)］学林街323号                            ",32955,"<p class=""date"">竣工日期：2014年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
竹径茶语(别墅)
","
                              ［余杭-良渚］104国道                            ",30297,"<p class=""date"">竣工日期：2007年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
新时代城市家园
","
                              ［余杭-闲林］闲富中路248号                            ",20387,"<p class=""date"">竣工日期：暂无数据                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
元福里
","
                              ［上城-湖滨］清泰街625号                            ",129347,"<p class=""date"">竣工日期：2014年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
艺尚里
","
                              ［余杭-临平］永乐路,近迎宾路                            ",23420,"<p class=""date"">竣工日期：暂无数据                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
凯德湖墅
","
                              ［拱墅-和睦］湖墅北路111号                             ",43297,"<p class=""date"">竣工日期：2016年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
黄龙金茂悦
","
                              ［拱墅-申花］塘萍路,近拱苑路                            ",48350,"<p class=""date"">竣工日期：2016年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
恒基旭辉府
","
                              ［余杭-崇贤］崇杭街,近丽水北路                            ",20648,"<p class=""date"">竣工日期：2015年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
绿城莲园(公寓)
","
                              ［余杭-临平北］北沙西路,近荷花路                            ",23534,"<p class=""date"">竣工日期：2015年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
龙湖春江彼岸
","
                              ［滨江-滨江区政府］扬帆路                            ",47307,"<p class=""date"">竣工日期：2015年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
和谐嘉园东苑
","
                              ［江干-钱江新城］江锦路176号                            ",44762,"<p class=""date"">竣工日期：2009年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
怡景公寓
","
                              ［萧山-萧山市区］萧然南路275号                            ",22545,"<p class=""date"">竣工日期：2000年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
宁都花园
","
                              ［萧山-钱江世纪城］新宁路180号                            ",11734,"<p class=""date"">竣工日期：2010年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
绿都花园
","
                              ［萧山-萧山市区］萧绍路1276号                            ",21616,"<p class=""date"">竣工日期：2005年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
金地天逸
","
                              ［萧山-萧山市区］金城路,近风情大道                            ",39518,"<p class=""date"">竣工日期：2014年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
赞成美树
","
                              ［余杭-勾庄］金恒路174号                            ",23605,"<p class=""date"">竣工日期：2013年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
星洲竹影翠庭
","
                              ［余杭-闲林］闲林中路,近福严路                            ",21927,"<p class=""date"">竣工日期：2011年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
宋都阳光国际观澜苑
","
                              ［江干-九堡沿江］通盛路,近之江东路                            ",34462,"<p class=""date"">竣工日期：2012年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
大成名座
","
                              ［萧山-经开区］市心北路,近建设三路                            ",16623,"<p class=""date"">竣工日期：2009年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
华艺星座
","
                              ［余杭-星桥］藕花洲大街634号                            ",21034,"<p class=""date"">竣工日期：2010年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
云水山居(公寓)
","
                              ［富阳-富阳区其他］九龙大道延伸段                            ",16010,"<p class=""date"">竣工日期：2009年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
临平桂花城北区
","
                              ［余杭-临平］人民大道                            ",23053,"<p class=""date"">竣工日期：2010年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
绿都金域三江小区
","
                              ［萧山-湘湖闻堰］时代大道                            ",22982,"<p class=""date"">竣工日期：2010年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
和家园(南区)
","
                              ［西湖-留下］杨梅山路310号                            ",45741,"<p class=""date"">竣工日期：2009年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
广宇湖滨公寓
","
                              ［上城-湖滨］开元路78号                            ",107745,"<p class=""date"">竣工日期：2000年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
柳浪东苑
","
                              ［上城-清波］河坊街512号                            ",100840,"<p class=""date"">竣工日期：2003年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
尚农里小区
","
                              ［上城-湖滨］浣纱路14号                             ",50590,"<p class=""date"">竣工日期：1995年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
多蓝水岸
","
                              ［江干-下沙沿江］12号大街                            ",22558,"<p class=""date"">竣工日期：2008年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
东尚国际寓所
","
                              ［江干-工业园南］14号大街31号                            ",9075,"<p class=""date"">竣工日期：2005年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
西城时代家园
","
                              ［余杭-老余杭］文一西路                            ",23598,"<p class=""date"">竣工日期：2009年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
钱塘春晓花园
","
                              ［滨江-滨江区政府］月明路862号                            ",38155,"<p class=""date"">竣工日期：2005年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
凤起苑
","
                              ［下城-潮鸣］凤起路75-117号                            ",41819,"<p class=""date"">竣工日期：1999年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
瑞立中央花城
","
                              ［滨江-滨江区政府］滨河路796号                            ",49846,"<p class=""date"">竣工日期：2008年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
奥克斯缔逸城(商住楼)
","
                              ［西湖-三墩］古墩路,近庄墩路                            ",25141,"<p class=""date"">竣工日期：2017年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
三花国际
","
                              ［江干-火车东站］明月桥路,近鸿泰路                            ",28380,"<p class=""date"">竣工日期：2018年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
金隅空港公馆
","
                              ［江干-下沙沿江］24号大街,近19号大街                            ",14540,"<p class=""date"">竣工日期：2013年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
中天西城纪
","
                              ［拱墅-申花］余杭塘路417号                            ",29024,"<p class=""date"">竣工日期：2014年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
万科溪望(别墅)
","
                              ［余杭-未来科技城］文二西路                            ",35153,"<p class=""date"">竣工日期：暂无数据                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
通和十二橡树(别墅)
","
                              ［余杭-星桥］星都路                            ",29001,"<p class=""date"">竣工日期：2014年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
滨江西溪之星
","
                              ［余杭-五常］荆长大道,纬三路                            ",38050,"<p class=""date"">竣工日期：2016年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
香山四季公馆
","
                              ［萧山-南部卧城］蜀山路,近亚太路                            ",15626,"<p class=""date"">竣工日期：2015年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
西溪海听海苑
","
                              ［余杭-闲林］闲富北路,近上和路                            ",24545,"<p class=""date"">竣工日期：2015年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
世茂江滨花园峻景湾
","
                              ［江干-下沙沿江］20号大街,近23号大街                            ",25085,"<p class=""date"">竣工日期：2009年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
丁桥兰苑
","
                              ［江干-丁桥］惠兰雅路58号                            ",24618,"<p class=""date"">竣工日期：2000年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
三堡家园
","
                              ［江干-钱江新城］三新路35号                            ",21700,"<p class=""date"">竣工日期：2007年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
泊悦府澜湾
","
                              ［余杭-老余杭］禹航路490号                            ",26839,"<p class=""date"">竣工日期：2011年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
