housename,location,houseprice,time_of_completion
"
梦琴湾
","
                              ［江干-下沙沿江］27号大街,近10号大街                            ",23770,"<p class=""date"">竣工日期：2008年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
东城丽景
","
                              ［余杭-乔司］城隍中路,近永玄路                            ",25392,"<p class=""date"">竣工日期：2009年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
山水人家
","
                              ［西湖-山水］天目山路396号                            ",39951,"<p class=""date"">竣工日期：2003年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
绿都百瑞广场
","
                              ［萧山-经开区］市心北路199号                            ",18306,"<p class=""date"">竣工日期：2004年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
瑞博林之语
","
                              ［萧山-萧山桥南］钱宁线                            ",25046,"<p class=""date"">竣工日期：2009年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
首开国风美域
","
                              ［西湖-三墩］振华路1号                            ",34551,"<p class=""date"">竣工日期：2016年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
朗诗花漫里
","
                              ［余杭-乔司］乔中路,近南街                            ",28827,"<p class=""date"">竣工日期：2016年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
景瑞御蓝湾
","
                              ［余杭-老余杭］禹航路5号                            ",21162,"<p class=""date"">竣工日期：2015年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
金帝海珀华庭
","
                              ［余杭-临平北］振兴西路177号                            ",24674,"<p class=""date"">竣工日期：2010年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
赞成香颂
","
                              ［余杭-临平北］顺达路,近振兴西路                            ",23016,"<p class=""date"">竣工日期：2013年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
开元加州阳光小区
","
                              ［萧山-萧山市区］金城路333号                            ",26118,"<p class=""date"">竣工日期：2005年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
秀月家园南区
","
                              ［西湖-三墩］古墩路                            ",25605,"<p class=""date"">竣工日期：2007年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
翰墨香林苑
","
                              ［西湖-小和山］留和路546号                            ",23301,"<p class=""date"">竣工日期：2007年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
新明半岛(公寓)
","
                              ［余杭-中泰］102省道                            ",22052,"<p class=""date"">竣工日期：2012年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
奥兰多小镇
","
                              ［萧山-湘湖闻堰］风情大道,近休博路                            ",29341,"<p class=""date"">竣工日期：2008年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
滨湖天地
","
                              ［临安-临安］长桥路                            ",14443,"<p class=""date"">竣工日期：2020年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
大华西溪风情(别墅)
","
                              ［余杭-未来科技城］文一西路833号                            ",49748,"<p class=""date"">竣工日期：2004年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
绿城江南里
","
                              ［拱墅-桥西］小河路                            ",187046,"<p class=""date"">竣工日期：2017年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
滨江紫金府
","
                              ［西湖-紫金港］古墩路,近方家北路                            ",30529,"<p class=""date"">竣工日期：2016年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
野风山(公寓)
","
                              ［富阳-银湖］九龙大道                            ",19645,"<p class=""date"">竣工日期：2014年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
玲珑香榭
","
                              ［余杭-临平北］杭机路6-13号                            ",16340,"<p class=""date"">竣工日期：2016年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
绿城紫桂公寓
","
                              ［余杭-星桥］星源北路65号                            ",24012,"<p class=""date"">竣工日期：2012年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
钱江彩虹城
","
                              ［滨江-彩虹城］滨盛路4402号                            ",40669,"<p class=""date"">竣工日期：2007年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
三江鸣翠蓝湾
","
                              ［富阳-银湖］九龙大道188号                            ",21133,"<p class=""date"">竣工日期：2010年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
长岛之春
","
                              ［滨江-东冠］明志路99号                            ",31060,"<p class=""date"">竣工日期：2005年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
仓溢东苑
","
                              ［余杭-未来科技城］海曙路,近良睦路                            ",16000,"<p class=""date"">竣工日期：暂无数据                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
赞成杭家
","
                              ［余杭-崇贤］崇文街                            ",19746,"<p class=""date"">竣工日期：2016年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
科尔世纪外滩(公寓)
","
                              ［萧山-萧山桥南］水博大道                            ",25328,"<p class=""date"">竣工日期：2017年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
金地格林格林
","
                              ［江干-长睦］天都路                            ",26538,"<p class=""date"">竣工日期：2015年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
"
金隅田员外
","
                              ［拱墅-半山田园］半山东路,近依山路                            ",28025,"<p class=""date"">竣工日期：2014年                                 <!-- 筛选绿化优美，品牌开发商，大型社区，地铁沿线后，小区信息中显示相应的字段 -->
</p>"
